junctionid,vehicleid,turn,priority,arrivaltime,departuretime,delay
MaryRosslandJuction,veh_691,right,1,93000000000,339000000000,246.0
MaryRosslandJuction,veh_692,left,1,94000000000,540000000000,446.0
MaryRosslandJuction,veh_693,straight,1,95000000000,343000000000,248.0
MaryRosslandJuction,veh_694,straight,1,136000000000,880000000000,744.0
MaryRosslandJuction,veh_695,right,1,138000000000,584000000000,446.0
MaryRosslandJuction,veh_696,left,1,140000000000,980000000000,840.0
MaryRosslandJuction,veh_697,straight,1,142000000000,692000000000,550.0
MaryRosslandJuction,veh_698,right,1,502000000000,990000000000,488.0
MaryRosslandJuction,veh_70,straight,1,303000000000,568000000000,265.0
MaryRosslandJuction,veh_700,left,1,504000000000,584000000000,80.0
MaryRosslandJuction,veh_706,right,1,1176000000000,1350000000000,174.0
MaryRosslandJuction,veh_710,straight,1,2687000000000,2735000000000,48.0
MaryRosslandJuction,veh_714,left,1,431000000000,1630000000000,1199.0
MaryRosslandJuction,veh_717,straight,1,429000000000,881000000000,452.0
MaryRosslandJuction,veh_718,left,1,485000000000,1538000000000,1053.0
MaryRosslandJuction,veh_719,right,1,491000000000,764000000000,273.0
MaryRosslandJuction,veh_722,left,1,96000000000,550000000000,454.0
MaryRosslandJuction,veh_723,right,1,97000000000,347000000000,250.0
MaryRosslandJuction,veh_724,left,1,98000000000,558000000000,460.0
MaryRosslandJuction,veh_725,straight,1,99000000000,513000000000,414.0
MaryRosslandJuction,veh_726,straight,1,143000000000,883000000000,740.0
MaryRosslandJuction,veh_727,right,1,144000000000,692000000000,548.0
MaryRosslandJuction,veh_728,left,1,146000000000,982000000000,836.0
MaryRosslandJuction,veh_729,straight,1,148000000000,566000000000,418.0
MaryRosslandJuction,veh_730,right,1,514000000000,1014000000000,500.0
MaryRosslandJuction,veh_732,left,1,521000000000,592000000000,71.0
MaryRosslandJuction,veh_738,right,1,1178000000000,1356000000000,178.0
MaryRosslandJuction,veh_74,left,1,175000000000,630000000000,455.0
MaryRosslandJuction,veh_742,straight,1,2689000000000,2736000000000,47.0
MaryRosslandJuction,veh_746,left,1,458000000000,1746000000000,1288.0
MaryRosslandJuction,veh_749,straight,1,468000000000,1001000000000,533.0
MaryRosslandJuction,veh_750,left,1,494000000000,1773000000000,1279.0
MaryRosslandJuction,veh_751,right,1,500000000000,770000000000,270.0
MaryRosslandJuction,veh_754,left,1,100000000000,604000000000,504.0
MaryRosslandJuction,veh_755,right,1,101000000000,351000000000,250.0
MaryRosslandJuction,veh_756,left,1,102000000000,610000000000,508.0
MaryRosslandJuction,veh_757,straight,1,103000000000,511000000000,408.0
MaryRosslandJuction,veh_758,straight,1,149000000000,997000000000,848.0
MaryRosslandJuction,veh_759,right,1,150000000000,698000000000,548.0
MaryRosslandJuction,veh_760,left,1,152000000000,988000000000,836.0
MaryRosslandJuction,veh_761,straight,1,154000000000,702000000000,548.0
MaryRosslandJuction,veh_762,right,1,529000000000,1016000000000,487.0
MaryRosslandJuction,veh_764,left,1,531000000000,602000000000,71.0
MaryRosslandJuction,veh_77,straight,1,176000000000,359000000000,183.0
MaryRosslandJuction,veh_770,right,1,1240000000000,1500000000000,260.0
MaryRosslandJuction,veh_774,straight,1,2696000000000,2743000000000,47.0
MaryRosslandJuction,veh_778,left,1,465000000000,1528000000000,1063.0
MaryRosslandJuction,veh_78,left,1,70000000000,118000000000,48.0
MaryRosslandJuction,veh_781,straight,1,459000000000,998000000000,539.0
MaryRosslandJuction,veh_782,left,1,502000000000,1522000000000,1020.0
MaryRosslandJuction,veh_783,right,1,509000000000,774000000000,265.0
MaryRosslandJuction,veh_786,left,1,104000000000,614000000000,510.0
MaryRosslandJuction,veh_787,right,1,105000000000,511000000000,406.0
MaryRosslandJuction,veh_788,left,1,106000000000,640000000000,534.0
MaryRosslandJuction,veh_789,straight,1,107000000000,521000000000,414.0
MaryRosslandJuction,veh_79,right,1,73000000000,158000000000,85.0
MaryRosslandJuction,veh_790,straight,1,155000000000,999000000000,844.0
MaryRosslandJuction,veh_791,right,1,156000000000,708000000000,552.0
MaryRosslandJuction,veh_792,left,1,157000000000,991000000000,834.0
MaryRosslandJuction,veh_793,straight,1,160000000000,1006000000000,846.0
MaryRosslandJuction,veh_794,right,1,541000000000,1022000000000,481.0
MaryRosslandJuction,veh_796,left,1,568000000000,640000000000,72.0
MaryRosslandJuction,veh_802,right,1,1242000000000,1502000000000,260.0
MaryRosslandJuction,veh_806,straight,1,2761000000000,2809000000000,48.0
MaryRosslandJuction,veh_810,left,1,519000000000,1727000000000,1208.0
MaryRosslandJuction,veh_813,straight,1,521000000000,1008000000000,487.0
MaryRosslandJuction,veh_814,left,1,512000000000,1774000000000,1262.0
MaryRosslandJuction,veh_815,right,1,581000000000,872000000000,291.0
MaryRosslandJuction,veh_818,left,1,108000000000,648000000000,540.0
MaryRosslandJuction,veh_819,right,1,109000000000,519000000000,410.0
MaryRosslandJuction,veh_82,left,1,11000000000,53000000000,42.0
MaryRosslandJuction,veh_820,left,1,110000000000,664000000000,554.0
MaryRosslandJuction,veh_821,straight,1,111000000000,523000000000,412.0
MaryRosslandJuction,veh_822,straight,1,161000000000,1009000000000,848.0
MaryRosslandJuction,veh_823,right,1,162000000000,710000000000,548.0
MaryRosslandJuction,veh_824,left,1,164000000000,1042000000000,878.0
MaryRosslandJuction,veh_825,straight,1,166000000000,872000000000,706.0
MaryRosslandJuction,veh_826,right,1,574000000000,1026000000000,452.0
MaryRosslandJuction,veh_828,left,1,601000000000,664000000000,63.0
MaryRosslandJuction,veh_83,right,1,13000000000,79000000000,66.0
MaryRosslandJuction,veh_834,right,1,1331000000000,1690000000000,359.0
MaryRosslandJuction,veh_838,straight,1,2768000000000,2816000000000,48.0
MaryRosslandJuction,veh_84,left,1,15000000000,55000000000,40.0
MaryRosslandJuction,veh_842,left,1,529000000000,1780000000000,1251.0
MaryRosslandJuction,veh_845,straight,1,519000000000,1010000000000,491.0
MaryRosslandJuction,veh_846,left,1,584000000000,1782000000000,1198.0
MaryRosslandJuction,veh_847,right,1,590000000000,878000000000,288.0
MaryRosslandJuction,veh_85,straight,1,16000000000,142000000000,126.0
MaryRosslandJuction,veh_850,left,1,112000000000,676000000000,564.0
MaryRosslandJuction,veh_851,right,1,113000000000,521000000000,408.0
